time,open,high,low,close,vwap,volume,count,sma,ema,rsi,macd,macdsignal,macdhist,upperband,middleband,lowerband
1702398180,41243.6,41263.9,41243.6,41263.9,41252.7,0.02677538,7,41207.28,41218.16760500155,54.98538764045872,-20.14271369254857,-34.17408449648572,14.03137080393715,41357.54030215077,41207.27999999999,41057.01969784922
1702398240,41264.0,41270.0,41264.0,41269.9,41269.9,0.51229852,18,41200.115000000005,41223.09449976331,55.69735908346436,-13.771834576771653,-30.093634512542906,16.321799935771253,41321.261411833795,41200.115,41078.9685881662
1702398300,41270.0,41270.0,41269.9,41270.0,41269.9,0.05547595,8,41197.415,41227.561690262046,55.70993237067914,-8.615483878355008,-25.798004385705326,17.18252050735032,41309.46220925443,41197.41499999999,41085.36779074556
1702398360,41269.9,41280.5,41269.9,41276.4,41276.4,0.67483516,14,41196.525,41232.212957856136,56.55965492233225,-3.9668845120322658,-21.431780410970713,17.464895898938448,41305.72970456253,41196.525,41087.32029543747
1702398420,41276.4,41276.4,41276.3,41276.3,41276.3,1.1304104,12,41197.295,41236.411723774596,56.54140159338192,-0.2875900283106603,-17.202942334438703,16.915352306128042,41308.50326363064,41197.295,41086.086736369354
1702398480,41276.4,41284.9,41276.4,41284.9,41284.8,3.9557389,14,41200.515,41241.02965484368,57.80265849184077,3.2843653652380453,-13.105480794503354,16.3898461597414,41317.78834351777,41200.515,41083.24165648223
1702398540,41284.8,41284.9,41270.0,41270.0,41284.5,0.29594195,12,41205.715000000004,41243.78873533476,54.8334161632379,4.856873262011504,-9.513009983200382,14.369883245211886,41325.59933216433,41205.715000000004,41085.830667835675
1702398600,41269.9,41269.9,41251.5,41251.6,41251.8,0.56264641,23,41210.625,41244.532665302875,51.327026532026075,4.5657398676048615,-6.697260013039333,11.262999880644195,41329.576820076756,41210.625,41091.673179923244
1702398660,41251.6,41300.0,41251.6,41280.7,41286.6,9.66525956,28,41216.61,41247.97717336927,56.107441680893054,6.6069802011261345,-4.03641197020624,10.643392171332374,41337.00861958748,41216.61,41096.21138041252
1702398720,41281.1,41296.5,41281.1,41296.4,41295.7,0.07709317,6,41225.909999999996,41252.58887114363,58.47695046903254,9.38337100145145,-1.3524553758747015,10.735826377326152,41340.657738975904,41225.909999999996,41111.16226102409
1702398780,41296.5,41296.5,41296.4,41296.5,41296.4,1.70531856,10,41235.005,41256.770883415666,58.49232071835452,11.459650164091727,1.2099657321185844,10.249684431973142,41341.563781430865,41235.005,41128.44621856913
1702398840,41296.4,41296.5,41296.4,41296.4,41296.4,0.02831232,5,41241.545,41260.54508499512,58.46901287364062,12.947793095911038,3.5575312048770753,9.390261891033962,41346.302557721494,41241.545,41136.7874422785
1702398900,41296.5,41296.5,41296.4,41296.5,41296.4,1.42511015,13,41248.095,41263.96936261463,58.486827383262366,13.974141055645305,5.6408531750307205,8.333287880614584,41349.33717450548,41248.095,41146.85282549452
1702398960,41296.5,41296.5,41284.0,41284.0,41289.0,0.80482988,10,41254.015,41265.877042365624,55.29400776083803,13.621859359649534,7.2370544119544835,6.38480494769505,41348.917798159986,41254.015,41159.11220184001
1702399020,41284.0,41284.0,41222.8,41222.8,41242.6,0.37598351,26,41254.21000000001,41261.77446690223,42.93565682096239,8.308569035318214,7.45135733662723,0.8572116986909846,41348.83902089777,41254.21000000001,41159.58097910224
1702399080,41223.9,41224.0,41200.1,41200.1,41220.9,8.42047628,23,41256.62,41255.90070814964,39.41664125654668,2.240223977394635,6.409130664780711,-4.168906687386076,41342.779911776975,41256.62,41170.46008822303
1702399140,41200.0,41200.1,41162.1,41162.1,41181.3,2.4713104,19,41256.91499999999,41246.96730737348,34.34234879836555,-5.57104607058136,4.013095317708297,-9.584141388289657,41341.72745839533,41256.915,41172.10254160467
1702399200,41162.1,41176.2,41155.6,41155.6,41162.0,4.12953681,18,41257.395000000004,41238.265659052195,33.54680966552936,-12.146017805367592,0.7812726930931184,-12.92729049846071,41339.76459327934,41257.395000000004,41175.02540672067
1702399260,41155.5,41162.0,41155.5,41155.5,41156.0,4.23989034,22,41253.534999999996,41230.383215332935,33.533939401550796,-17.16690998726699,-2.8083638429789035,-14.358546144288088,41346.69991344647,41253.535,41160.370086553536
1702399320,41155.5,41224.0,41155.5,41224.0,41198.0,0.1523033,23,41251.68,41229.77529006313,48.19546767760975,-15.440635656988889,-5.334818205780901,-10.105817451207987,41345.6425159106,41251.68000000001,41157.717484089415
1702399380,41223.9,41224.0,41209.1,41218.3,41223.8,4.92807673,22,41249.4,41228.682405295214,47.26123862227904,-14.366880718371249,-7.141230708298971,-7.225650010072278,41344.27433792407,41249.40000000001,41154.52566207595
1702399440,41218.3,41282.8,41218.3,41282.8,41245.6,1.11673849,27,41250.045,41233.836461933766,57.338693552820786,-8.21659544488648,-7.356303655616473,-0.8602917892700068,41345.640700202,41250.045000000006,41154.44929979801
