time,open,high,low,close,vwap,volume,count
1702413540,41250.6,41250.6,41217.0,41227.9,41231.6,0.42580099,19
1702413600,41220.3,41234.2,41213.0,41218.5,41229.0,0.48327240,16
1702413660,41218.4,41218.4,41179.4,41185.3,41196.1,1.04154252,29
1702413720,41185.2,41185.3,41185.2,41185.2,41185.2,0.23989194,17
1702413780,41185.3,41185.3,41134.2,41134.2,41181.6,0.97214098,23
1702413840,41134.2,41134.2,41119.2,41119.3,41132.8,1.15181877,12
1702413900,41119.2,41136.2,41109.4,41129.7,41117.6,2.93093096,38
1702413960,41129.8,41129.8,41116.2,41129.8,41126.9,0.04947177,14
1702414020,41129.7,41154.7,41129.7,41154.6,41144.4,0.24411051,10
1702414080,41154.7,41210.6,41154.7,41210.6,41186.8,0.08822978,15
1702414140,41210.5,41229.0,41210.5,41226.8,41226.3,0.88957067,11
1702414200,41226.8,41226.8,41210.5,41210.5,41226.0,1.77250211,10
1702414260,41210.5,41210.5,41180.1,41180.1,41192.2,0.19165233,19
1702414320,41180.1,41263.3,41180.1,41240.5,41243.9,50.25024582,86
1702414380,41240.5,41240.5,41216.8,41231.1,41224.1,0.49510909,14
1702414440,41253.1,41257.7,41241.7,41244.0,41251.5,1.33476724,16
1702414500,41244.1,41264.4,41244.1,41244.3,41252.4,0.87407844,16
1702414560,41244.1,41259.8,41234.0,41257.9,41245.3,1.74526481,21
1702414620,41257.9,41257.9,41240.6,41240.6,41244.4,0.03906849,18
1702414680,41240.6,41247.8,41240.6,41240.7,41240.7,0.18826135,14
1702414740,41240.7,41240.7,41240.0,41240.6,41240.5,0.96447534,10
1702414800,41220.9,41241.7,41200.6,41215.0,41211.7,1.73946925,29
1702414860,41215.0,41215.0,41190.1,41213.6,41212.0,0.17009545,15
1702414920,41213.6,41247.3,41213.6,41242.4,41242.4,3.09300929,17
1702414980,41242.3,41300.3,41242.3,41299.1,41286.3,4.40313262,43
1702415040,41295.7,41317.0,41295.7,41312.9,41314.3,2.03843245,27
1702415100,41318.9,41331.1,41309.3,41309.3,41321.4,6.32215694,31
1702415160,41303.5,41305.4,41297.7,41297.7,41304.9,0.43560682,13
